Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,"3,816",56.5
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,"3,126",46.3
2023,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,"1,676",24.8
2023,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,32,0.5
2023,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,"1,351",20.0
2023,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"3,266",48.3
2023,March,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"1,787",26.4
2023,March,B Property and deception offences,B10 Arson,B12 Cause a bushfire,23,0.3
2023,March,B Property and deception offences,B10 Arson,B19 Other fire related offences,291,4.3
2023,March,B Property and deception offences,B20 Property damage,B21 Criminal damage,"35,594",526.8
2023,March,B Property and deception offences,B20 Property damage,B22 Graffiti,"3,417",50.6
2023,March,B Property and deception offences,B20 Property damage,B29 Other property damage offences,524,7.8
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"5,098",75.4
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,143,2.1
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,13,0.2
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"18,177",269.0
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"11,452",169.5
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,76,1.1
2023,March,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"17,534",259.5
2023,March,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"49,884",738.2
2023,March,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"22,071",326.6
2023,March,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"6,867",101.6
2023,March,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,"15,130",223.9
2023,March,B Property and deception offences,B40 Theft,B46 Fare evasion,30,0.4
2023,March,B Property and deception offences,B40 Theft,B49 Other theft,"43,760",647.6
2023,March,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,"2,541",37.6
2023,March,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,10,0.1
2023,March,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,"25,450",376.6
2023,March,B Property and deception offences,B50 Deception,B54 State false information,742,11.0
2023,March,B Property and deception offences,B50 Deception,B55 Deceptive business practices,10,0.1
2023,March,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,82,1.2
2023,March,B Property and deception offences,B50 Deception,B59 Other deception offences,589,8.7
2023,March,B Property and deception offences,B60 Bribery,B61 Bribery of officials,2,0.0
2023,March,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,53,0.8
2023,March,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,"3,965",58.7
2023,March,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,887,13.1
2023,March,C Drug offences,C20 Cultivate or manufacture drugs,C22 Manufacture drugs,2,0.0
